Quantity,Order Number,Description/MPN
114,3013515,CL31A226KAHNNNE
618,3013413,CL10B104KO8NNNC
12,3013384,CL10A105KO8NNNC
12,2773145,C0603C270K5GACTU
72,3013460,CL21A226MPCLRNC
30,4035994,HSP054-4N10
12,1581123,MCL034GT
6,2322073,150060VS75000
24,3020672,MC011393
12,1596997,1210L020WR
12,1515661,BLM21PG221SN1D
6,1096917,09 04 132 6921
6,2008005,MC000035
6,1450206,67643-0910.
6,3465045,208658-1001
6,1572191,SI-61001-F
6,1248141,826926-3
6,2470821,614105150721
6,1593445,2213S-16G
6,3225996,M20-9761346
6,3225996,M20-9761346
6,2751378,67997-410HLF
6,2751378,67997-410HLF
12,2751378,67997-410HLF
48,3974271,SRP3212-3R3M
12,2427679,DF40C-100DS-0.4V(51)
504,2073356,MCMR06X103 JTL
174,2073508,MCMR06X4700FTL
6,2447359,MCWR06X3301FTL
12,2447316,MCWR06X27R0FTL
66,2447339,MCWR06X3300FTL
6,2073348,MCMR06X1001FTL
24,9333681,MC01W08050R
12,2320051,KSC441J70SHLFS
18,2480570,BTS50301EJAXUMA1
6,2901144,IS25LP128F-JBLE
6,3766082,RP2040CT
24,1201269,"74HC595D,118"
24,1201249,"74HC165D,653"
24,3869999,TC78H621FNG
6,2308709,ABM8G-12.000MHZ-18-D2Y-T
